junction,corridor,event_count,avg_risk_score,high_priority_rate,junction_risk_score,priority_rank
KCG HospitalJunction,Non-corridor,2,0.005,0.0,5.29,300
Bamboobazar(Shivajinagar),Non-corridor,2,0.01,0.0,5.29,301
ChandrikaJunction,Non-corridor,2,0.01,0.0,5.29,302
Peenya2ndStageBusStand,Non-corridor,2,0.0,0.0,5.28,303
DevanahalliCrossJunc,Non-corridor,2,0.0,0.0,5.28,304
UpparpetJunction,Non-corridor,2,0.0,0.0,5.28,305
BagalakunteCrossJunction,Non-corridor,2,0.0,0.0,5.28,306
MarenahalliRd-18thMainRdJunc,Non-corridor,2,0.0,0.0,5.28,307
"Trilight Circle,Race course Road",Non-corridor,2,0.0,0.0,5.28,308
"Jayanagar 4th main,36th cross",Non-corridor,2,0.0,0.0,5.28,309
MekhriCircle,Non-corridor,1,1.86,0.0,4.82,310
AyyappaTempleJunc,Non-corridor,1,1.85,0.0,4.81,311
MotherTeressaCircle,Non-corridor,1,1.48,0.0,4.52,312
HSR14thMainJunc,Non-corridor,1,1.16,0.0,4.26,313
TataInstituteCircle,Non-corridor,1,1.14,0.0,4.25,314
KodigehalliCross,Non-corridor,1,0.63,0.0,3.84,315
AgaraJunction,Non-corridor,1,0.62,0.0,3.83,316
ISRO Junction-NewBEL Rd,Non-corridor,1,0.35,0.0,3.61,317
ArakereGateJunc,Non-corridor,1,0.31,0.0,3.58,318
GovindapuraCross,Non-corridor,1,0.31,0.0,3.58,319
MSRamaiahHospitalJunc,Non-corridor,1,0.14,0.0,3.45,320
TVS CrossJunction,Non-corridor,1,0.14,0.0,3.45,321
DairyCircle,Non-corridor,1,0.13,0.0,3.44,322
17th Mn 1st Crs Aishwarya Stores Jn,Non-corridor,1,0.09,0.0,3.41,323
PuttammaChoultryNagarbhavi,Non-corridor,1,0.08,0.0,3.4,324
Peenya14thCrossJunc,Non-corridor,1,0.05,0.0,3.37,325
YediyurMeternityHospital,Non-corridor,1,0.03,0.0,3.36,326
KensingtonOvalJunc,Non-corridor,1,0.03,0.0,3.36,327
DickensonRd-AdigasJunc,Non-corridor,1,0.02,0.0,3.35,328
MahalaxmiLayoutEntranceJunc,Non-corridor,1,0.02,0.0,3.35,329
KR Road-14thCross Junc,Non-corridor,1,0.01,0.0,3.34,330
Basveshwarnagar 8th main Junction,Non-corridor,1,0.01,0.0,3.34,331
WiproJunc-Koramangala,Non-corridor,1,0.0,0.0,3.33,332
LalbaghWestGate,Non-corridor,1,0.0,0.0,3.33,333
VishweswaraiahJunctio(Uttamsagar),Non-corridor,1,0.0,0.0,3.33,334
K G Junction,Non-corridor,1,0.0,0.0,3.33,335
NationalCollege,Non-corridor,1,0.0,0.0,3.33,336
GowdanapalyaJunction,Non-corridor,1,0.0,0.0,3.33,337
Geeta Circle,Non-corridor,1,0.0,0.0,3.33,338
NagaTheaterJunc-Ulsoor,Non-corridor,1,0.0,0.0,3.33,339
ESI(k r puram),Non-corridor,1,0.0,0.0,3.33,340
Devanahalli new bus stand,Non-corridor,1,0.0,0.0,3.33,341
DMRoadJunc(Basavangudi),Non-corridor,1,0.0,0.0,3.33,342
ColesParkJunc,Non-corridor,1,0.0,0.0,3.33,343
BrigadeMillenium,Non-corridor,1,0.0,0.0,3.33,344
BHEL Gate,Non-corridor,1,0.0,0.0,3.33,345
SwagathMainRd-EastEndRdJunc,Non-corridor,1,0.0,0.0,3.33,346
ThomasCafe-New,Non-corridor,1,0.0,0.0,3.33,347
27th Cross Jayanagar(Ganapathi Temple),Non-corridor,1,0.0,0.0,3.33,348
